timestamp,model_id,version,environment,latency_ms,throughput_rpm,error_rate,quality_score,drift_score,availability
2026-07-17T00:00:00Z,compressor-anomaly-detector,2.0.0,production,96.44,1052.78,0.0154,0.9239,0.1583,99.533
2026-07-18T00:00:00Z,compressor-anomaly-detector,2.0.0,production,91.73,1270.75,0.021,0.9515,0.3298,99.26
2026-07-19T00:00:00Z,compressor-anomaly-detector,2.0.0,production,94.58,1271.63,0.0252,0.8406,0.0426,99.442
2026-07-20T00:00:00Z,compressor-anomaly-detector,2.0.0,production,77.54,920.32,0.0022,0.9204,0.2744,99.897
2026-07-21T00:00:00Z,compressor-anomaly-detector,2.0.0,production,80.41,1158.06,0.0198,0.8414,0.309,99.968
2026-07-22T00:00:00Z,compressor-anomaly-detector,2.0.0,production,82.69,1276.25,0.0119,0.8931,0.3465,99.832
2026-07-23T00:00:00Z,compressor-anomaly-detector,2.0.0,production,80.65,1015.76,0.0155,0.8709,0.0685,99.319
2026-07-24T00:00:00Z,compressor-anomaly-detector,2.0.0,production,100.28,809.74,0.0166,0.8861,0.0063,99.331
2026-07-25T00:00:00Z,compressor-anomaly-detector,2.0.0,production,96.84,1056.13,0.0019,0.9678,0.2759,99.972
2026-07-26T00:00:00Z,compressor-anomaly-detector,2.0.0,production,78.67,932.78,0.0012,0.9368,0.0947,99.13
2026-07-27T00:00:00Z,compressor-anomaly-detector,2.0.0,production,89.78,1255.71,0.0246,0.8588,0.0523,99.919
2026-07-28T00:00:00Z,compressor-anomaly-detector,2.0.0,production,94.97,1150.21,0.0027,0.8286,0.2409,99.425
2026-07-29T00:00:00Z,compressor-anomaly-detector,2.0.0,production,77.53,1269.17,0.019,0.9402,0.0293,99.856
2026-07-30T00:00:00Z,compressor-anomaly-detector,2.0.0,production,77.33,1231.39,0.0136,0.8709,0.1936,99.927
2026-07-01T00:00:00Z,valve-health-model,1.0.0,production,84.38,864.61,0.0158,0.8558,0.0383,99.161
2026-07-02T00:00:00Z,valve-health-model,1.0.0,production,76.76,900.88,0.0094,0.8658,0.2658,99.29
2026-07-03T00:00:00Z,valve-health-model,1.0.0,production,92.5,888.95,0.0104,0.8227,0.0877,99.015
2026-07-04T00:00:00Z,valve-health-model,1.0.0,production,100.66,1075.52,0.0057,0.8912,0.3271,99.106
2026-07-05T00:00:00Z,valve-health-model,1.0.0,production,103.66,1016.09,0.0149,0.9452,0.1376,99.507
2026-07-06T00:00:00Z,valve-health-model,1.0.0,production,99.07,1291.22,0.0103,0.9448,0.2474,99.636
2026-07-07T00:00:00Z,valve-health-model,1.0.0,production,89.16,973.78,0.0016,0.8395,0.0248,99.741
2026-07-08T00:00:00Z,valve-health-model,1.0.0,production,83.95,881.62,0.0025,0.9462,0.3047,99.671
2026-07-09T00:00:00Z,valve-health-model,1.0.0,production,84.87,921.11,0.0088,0.8889,0.0551,99.446
2026-07-10T00:00:00Z,valve-health-model,1.0.0,production,84.21,1280.89,0.0292,0.9021,0.0856,99.966
2026-07-11T00:00:00Z,valve-health-model,1.0.0,production,85.83,978.29,0.0,0.8772,0.1661,99.503
2026-07-12T00:00:00Z,valve-health-model,1.0.0,production,82.03,1052.37,0.0001,0.8596,0.0314,99.4
2026-07-13T00:00:00Z,valve-health-model,1.0.0,production,76.46,811.25,0.0091,0.8549,0.205,99.529
2026-07-14T00:00:00Z,valve-health-model,1.0.0,production,101.27,1128.77,0.0215,0.9519,0.1363,99.326
2026-07-15T00:00:00Z,valve-health-model,1.0.0,production,109.47,874.73,0.0217,0.9165,0.0153,99.835
2026-07-16T00:00:00Z,valve-health-model,2.0.0,production,106.22,1113.67,0.022,0.9418,0.0488,99.524
2026-07-17T00:00:00Z,valve-health-model,2.0.0,production,92.65,1217.47,0.0241,0.944,0.2044,99.893
2026-07-18T00:00:00Z,valve-health-model,2.0.0,production,98.9,1146.66,0.0069,0.8247,0.0466,99.361
2026-07-19T00:00:00Z,valve-health-model,2.0.0,production,78.67,1217.91,0.0168,0.9142,0.2192,99.681
2026-07-20T00:00:00Z,valve-health-model,2.0.0,production,92.13,801.66,0.0239,0.9322,0.176,99.535
2026-07-21T00:00:00Z,valve-health-model,2.0.0,production,98.08,833.03,0.0221,0.8578,0.0261,99.266
2026-07-22T00:00:00Z,valve-health-model,2.0.0,production,100.53,902.61,0.0222,0.9664,0.1729,99.383
2026-07-23T00:00:00Z,valve-health-model,2.0.0,production,91.77,1141.85,0.023,0.9125,0.225,99.077
2026-07-24T00:00:00Z,valve-health-model,2.0.0,production,80.16,926.97,0.0223,0.8657,0.1987,99.012
2026-07-25T00:00:00Z,valve-health-model,2.0.0,production,77.12,934.39,0.0202,0.9238,0.2365,99.291
2026-07-26T00:00:00Z,valve-health-model,2.0.0,production,93.08,1032.33,0.014,0.8378,0.3128,99.199
2026-07-27T00:00:00Z,valve-health-model,2.0.0,production,109.23,1268.13,0.0005,0.8888,0.287,99.968
2026-07-28T00:00:00Z,valve-health-model,2.0.0,production,90.73,934.33,0.0063,0.9618,0.0737,99.581
2026-07-29T00:00:00Z,valve-health-model,2.0.0,production,79.96,1062.03,0.0286,0.8399,0.2871,99.509
2026-07-30T00:00:00Z,valve-health-model,2.0.0,production,106.04,1151.67,0.0069,0.9547,0.1701,99.025
